position,category,id,count
a,short,97,6097
a,short,227,10187
a,short,165,26566
a,short,39,4516
a,short,239,4576
a,short,88,23239
a,short,214,3016
a,short,94,5050
a,short,143,10977
a,short,1,822
a,short,0,1925
a,short,184,1104
a,short,224,6890
a,short,104,2184
a,short,27,5625
a,short,37,1193
a,short,149,1355
a,short,212,2998
a,short,109,2317
a,short,7,4625
a,short,242,748
a,short,78,555
a,short,207,1347
a,short,245,361
a,short,189,346
a,short,135,565
a,short,160,240
a,short,81,621
a,short,198,247
a,short,92,336
a,short,223,201
a,short,138,137
a,short,201,15
a,short,33,4
a,short,169,15
a,short,82,11
a,medium,88,7632
a,medium,212,1261
a,medium,165,10023
a,medium,27,1659
a,medium,0,696
a,medium,184,505
a,medium,39,1932
a,medium,104,700
a,medium,198,111
a,medium,224,2613
a,medium,214,1009
a,medium,149,413
a,medium,143,5171
a,medium,207,389
a,medium,7,1419
a,medium,239,1889
a,medium,227,3404
a,medium,135,212
a,medium,1,288
a,medium,94,1816
a,medium,97,3172
a,medium,109,695
a,medium,189,111
a,medium,78,138
a,medium,81,247
a,medium,160,91
a,medium,245,115
a,medium,37,379
a,medium,242,235
a,medium,138,70
a,medium,223,74
a,medium,92,91
a,medium,82,8
a,medium,201,8
a,medium,169,9
a,medium,33,3
a,long,94,993
a,long,165,5210
a,long,97,2386
a,long,39,1116
a,long,207,164
a,long,0,379
a,long,27,867
a,long,227,1698
a,long,88,3481
a,long,143,3600
a,long,198,62
a,long,37,192
a,long,245,76
a,long,184,320
a,long,135,108
a,long,81,136
a,long,239,1146
a,long,212,750
a,long,104,336
a,long,7,647
a,long,78,81
a,long,1,137
a,long,214,443
a,long,149,195
a,long,224,1299
a,long,109,339
a,long,242,144
a,long,138,29
a,long,189,61
a,long,160,60
a,long,223,59
a,long,201,2
a,long,92,29
a,long,169,5
a,long,82,4
b,short,40,588
b,short,185,511
b,short,224,881
b,short,130,2243
b,short,6,350
b,short,94,745
b,short,21,349
b,short,96,848
b,short,231,641
b,short,92,333
b,short,175,762
b,short,189,657
b,short,160,4277
b,short,234,4648
b,short,201,1528
b,short,49,1141
b,short,116,390
b,short,26,792
b,short,177,151
b,short,22,844
b,short,204,1052
b,short,184,612
b,short,242,1022
b,short,143,739
b,short,249,654
b,short,166,179
b,short,99,298
b,short,221,467
b,short,91,296
b,short,176,1353
b,short,199,1252
b,short,73,438
b,short,81,314
b,short,206,278
b,short,139,194
b,short,238,831
b,short,223,217
b,short,187,516
b,short,156,1483
b,short,47,418
b,short,100,696
b,short,75,484
b,short,168,745
b,short,164,431
b,short,194,775
b,short,196,620
b,short,38,842
b,short,59,722
b,short,236,284
b,short,192,514
b,short,255,753
b,short,227,609
b,short,28,361
b,short,124,209
b,short,253,669
b,short,48,363
b,short,152,157
b,short,17,357
b,short,122,377
b,short,163,405
b,short,34,275
b,short,229,770
b,short,190,318
b,short,159,523
b,short,133,579
b,short,142,512
b,short,41,680
b,short,83,183
b,short,103,1310
b,short,90,955
b,short,205,1284
b,short,56,535
b,short,241,862
b,short,149,164
b,short,202,1126
b,short,125,429
b,short,44,356
b,short,2,674
b,short,200,794
b,short,138,731
b,short,157,930
b,short,213,1552
b,short,171,264
b,short,244,277
b,short,88,616
b,short,52,428
b,short,170,1328
b,short,169,1073
b,short,46,666
b,short,84,602
b,short,20,587
b,short,7,605
b,short,173,630
b,short,114,605
b,short,118,615
b,short,207,1055
b,short,80,332
b,short,162,260
b,short,141,680
b,short,108,1398
b,short,161,943
b,short,101,464
b,short,15,280
b,short,220,312
b,short,68,481
b,short,214,420
b,short,4,374
b,short,23,497
b,short,117,340
b,short,97,1762
b,short,45,451
b,short,218,218
b,short,179,1084
b,short,89,799
b,short,63,410
b,short,51,1054
b,short,12,595
b,short,145,223
b,short,69,298
b,short,146,327
b,short,127,469
b,short,33,160
b,short,225,226
b,short,132,676
b,short,42,401
b,short,174,442
b,short,30,184
b,short,111,676
b,short,188,576
b,short,235,232
b,short,178,565
b,short,183,1622
b,short,11,36
b,short,39,762
