user,group,a,b,c,d
2,short_<10,0.0,0.0,0.0,0.0
4,short_<10,0.0,0.0,0.0,0.0
6,short_<10,0.0,0.0,0.0,0.0
8,short_<10,0.0,0.0,0.0,0.0
10,short_<10,0.0,0.0,0.0,0.0
11,short_<10,0.0,0.0,0.0,0.0
16,short_<10,0.0,0.0,0.0,0.0
18,short_<10,0.0,0.0,0.0,0.0
22,short_<10,0.0,0.0,0.0,0.0
24,short_<10,0.0,0.0,0.0,0.0
27,short_<10,0.0,0.0,0.0,0.0
28,short_<10,0.0,0.0,0.0,0.0
29,short_<10,0.0,0.0,0.0,0.0
31,short_<10,0.0,0.0,0.0,0.0
32,short_<10,0.0,0.0,0.0,0.0
33,short_<10,0.0,0.0,0.0,0.0
34,short_<10,0.0,0.0,0.0,0.0
35,short_<10,0.0,0.0,0.0,0.0
37,short_<10,0.0,0.0,0.0,0.0
38,short_<10,0.0,0.0,0.0,0.0
39,short_<10,0.0,0.0,0.0,0.0
41,short_<10,0.0,0.0,0.0,0.0
42,short_<10,0.0,0.0,0.0,0.0
43,short_<10,0.0,0.0,0.0,0.0
44,short_<10,0.0,0.0,0.0,0.0
45,short_<10,0.0,0.0,0.0,0.0
46,short_<10,0.0,0.0,0.0,0.0
47,short_<10,0.0,0.0,0.0,0.0
48,short_<10,0.0,0.0,0.0,0.0
49,short_<10,0.0,0.0,0.0,0.0
51,short_<10,0.0,0.0,0.0,0.0
56,short_<10,0.0,0.0,0.0,0.0
57,short_<10,0.0,0.0,0.0,0.0
59,short_<10,0.0,0.0,0.0,0.0
60,short_<10,0.0,0.0,0.0,0.0
62,short_<10,0.0,0.0,0.0,0.0
63,short_<10,0.0,0.0,0.0,0.0
65,short_<10,0.0,0.0,0.0,0.0
67,short_<10,0.0,0.0,0.0,0.0
68,short_<10,0.0,0.0,0.0,0.0
69,short_<10,0.0,0.0,0.0,0.0
70,short_<10,0.0,0.0,0.0,0.0
72,short_<10,0.0,0.0,0.0,0.0
73,short_<10,0.0,0.0,0.0,0.0
74,short_<10,0.0,0.0,0.0,0.0
78,short_<10,0.0,0.0,0.0,0.0
79,short_<10,0.0,0.0,0.0,0.0
80,short_<10,0.0,0.0,0.0,0.0
81,short_<10,0.0,0.0,0.0,0.0
82,short_<10,0.0,0.0,0.0,0.0
85,short_<10,0.0,0.0,0.0,0.0
86,short_<10,0.0,0.0,0.0,0.0
87,short_<10,0.0,0.0,0.0,0.0
88,short_<10,0.0,0.0,0.0,0.0
89,short_<10,0.0,0.0,0.0,0.0
90,short_<10,0.0,0.0,0.0,0.0
92,short_<10,0.0,0.0,0.0,0.0
93,short_<10,0.0,0.0,0.0,0.0
98,short_<10,0.0,0.0,0.0,0.0
99,short_<10,0.0,0.0,0.0,0.0
106,short_<10,0.0,0.0,0.0,0.0
110,short_<10,0.0,0.0,0.0,0.0
112,short_<10,0.0,0.0,0.0,0.0
113,short_<10,0.0,0.0,0.0,0.0
114,short_<10,0.0,0.0,0.0,0.0
115,short_<10,0.0,0.0,0.0,0.0
116,short_<10,0.0,0.0,0.0,0.0
117,short_<10,0.0,0.0,0.0,0.0
120,short_<10,0.0,0.0,0.0,0.0
122,short_<10,0.0,0.0,0.0,0.0
123,short_<10,0.0,0.0,0.0,0.0
124,short_<10,0.0,0.0,0.0,0.0
125,short_<10,0.0,0.0,0.0,0.0
127,short_<10,0.0,0.0,0.0,0.0
129,short_<10,0.0,0.0,0.0,0.0
130,short_<10,0.0,0.0,0.0,0.0
131,short_<10,0.0,0.0,0.0,0.0
132,short_<10,0.0,0.0,0.0,0.0
133,short_<10,0.0,0.0,0.0,0.0
137,short_<10,0.0,0.0,0.0,0.0
140,short_<10,0.0,0.0,0.0,0.0
141,short_<10,0.0,0.0,0.0,0.0
142,short_<10,0.0,0.0,0.0,0.0
143,short_<10,0.0,0.0,0.0,0.0
144,short_<10,0.0,0.0,0.0,0.0
146,short_<10,0.0,0.0,0.0,0.0
147,short_<10,0.0,0.0,0.0,0.0
148,short_<10,0.0,0.0,0.0,0.0
149,short_<10,0.0,0.0,0.0,0.0
150,short_<10,0.0,0.0,0.0,0.0
152,short_<10,0.0,0.0,0.0,0.0
153,short_<10,0.0,0.0,0.0,0.0
155,short_<10,0.0,0.0,0.0,0.0
156,short_<10,0.0,0.0,0.0,0.0
159,short_<10,0.0,0.0,0.0,0.0
160,short_<10,0.0,0.0,0.0,0.0
161,short_<10,0.0,0.0,0.0,0.0
164,short_<10,0.0,0.0,0.0,0.0
165,short_<10,0.0,0.0,0.0,0.0
166,short_<10,0.0,0.0,0.0,0.0
168,short_<10,0.0,0.0,0.0,0.0
171,short_<10,0.0,0.0,0.0,0.0
172,short_<10,0.0,0.0,0.0,0.0
173,short_<10,0.0,0.0,0.0,0.0
174,short_<10,0.0,0.0,0.0,0.0
178,short_<10,0.0,0.0,0.0,0.0
179,short_<10,0.0,0.0,0.0,0.0
180,short_<10,0.0,0.0,0.0,0.0
181,short_<10,0.0,0.0,0.0,0.0
184,short_<10,0.0,0.0,0.0,0.0
185,short_<10,0.0,0.0,0.0,0.0
186,short_<10,0.0,0.0,0.0,0.0
188,short_<10,0.0,0.0,0.0,0.0
189,short_<10,0.0,0.0,0.0,0.0
190,short_<10,0.0,0.0,0.0,0.0
192,short_<10,0.0,0.0,0.0,0.0
193,short_<10,0.0,0.0,0.0,0.0
197,short_<10,0.0,0.0,0.0,0.0
198,short_<10,0.0,0.0,0.0,0.0
199,short_<10,0.0,0.0,0.0,0.0
200,short_<10,0.0,0.0,0.0,0.0
203,short_<10,0.0,0.0,0.0,0.0
206,short_<10,0.0,0.0,0.0,0.0
207,short_<10,0.0,0.0,0.0,0.0
209,short_<10,0.0,0.0,0.0,0.0
212,short_<10,0.0,0.0,0.0,0.0
213,short_<10,0.0,0.0,0.0,0.0
214,short_<10,0.0,0.0,0.0,0.0
216,short_<10,0.0,0.0,0.0,0.0
217,short_<10,0.0,0.0,0.0,0.0
219,short_<10,0.0,0.0,0.0,0.0
220,short_<10,0.0,0.0,0.0,0.0
221,short_<10,0.0,0.0,0.0,0.0
223,short_<10,0.0,0.0,0.0,0.0
227,short_<10,0.0,0.0,0.0,0.0
228,short_<10,0.0,0.0,0.0,0.0
229,short_<10,0.0,0.0,0.0,0.0
230,short_<10,0.0,0.0,0.0,0.0
233,short_<10,0.0,0.0,0.0,0.0
234,short_<10,0.0,0.0,0.0,0.0
235,short_<10,0.0,0.0,0.0,0.0
236,short_<10,0.0,0.0,0.0,0.0
237,short_<10,0.0,0.0,0.0,0.0
240,short_<10,0.0,0.0,0.0,0.0
242,short_<10,0.0,0.0,0.0,0.0
243,short_<10,0.0,0.0,0.0,0.0
245,short_<10,0.0,0.0,0.0,0.0
247,short_<10,0.0,0.0,0.0,0.0
248,short_<10,0.0,0.0,0.0,0.0
249,short_<10,0.0,0.0,0.0,0.0
250,short_<10,0.0,0.0,0.0,0.0
251,short_<10,0.0,0.0,0.0,0.0
252,short_<10,0.0,0.0,0.0,0.0
253,short_<10,0.0,0.0,0.0,0.0
255,short_<10,0.0,0.0,0.0,0.0
256,short_<10,0.0,0.0,0.0,0.0
260,short_<10,0.0,0.0,0.0,0.0
261,short_<10,0.0,0.0,0.0,0.0
263,short_<10,0.0,0.0,0.0,0.0
266,short_<10,0.0,0.0,0.0,0.0
272,short_<10,0.0,0.0,0.0,0.0
273,short_<10,0.0,0.0,0.0,0.0
274,short_<10,0.0,0.0,0.0,0.0
275,short_<10,0.0,0.0,0.0,0.0
277,short_<10,0.0,0.0,0.0,0.0
281,short_<10,0.0,0.0,0.0,0.0
282,short_<10,0.0,0.0,0.0,0.0
283,short_<10,0.0,0.0,0.0,0.0
288,short_<10,0.0,0.0,0.0,0.0
290,short_<10,0.0,0.0,0.0,0.0
291,short_<10,0.0,0.0,0.0,0.0
293,short_<10,0.0,0.0,0.0,0.0
294,short_<10,0.0,0.0,0.0,0.0
295,short_<10,0.0,0.0,0.0,0.0
296,short_<10,0.0,0.0,0.0,0.0
298,short_<10,0.0,0.0,0.0,0.0
300,short_<10,0.0,0.0,0.0,0.0
301,short_<10,0.0,0.0,0.0,0.0
303,short_<10,0.0,0.0,0.0,0.0
305,short_<10,0.0,0.0,0.0,0.0
306,short_<10,0.0,0.0,0.0,0.0
309,short_<10,0.0,0.0,0.0,0.0
310,short_<10,0.0,0.0,0.0,0.0
313,short_<10,0.0,0.0,0.0,0.0
314,short_<10,0.0,0.0,0.0,0.0
317,short_<10,0.0,0.0,0.0,0.0
318,short_<10,0.0,0.0,0.0,0.0
319,short_<10,0.0,0.0,0.0,0.0
320,short_<10,0.0,0.0,0.0,0.0
321,short_<10,0.0,0.0,0.0,0.0
322,short_<10,0.0,0.0,0.0,0.0
326,short_<10,0.0,0.0,0.0,0.0
328,short_<10,0.0,0.0,0.0,0.0
329,short_<10,0.0,0.0,0.0,0.0
332,short_<10,0.0,0.0,0.0,0.0
338,short_<10,0.0,0.0,0.0,0.0
339,short_<10,0.0,0.0,0.0,0.0
340,short_<10,0.0,0.0,0.0,0.0
341,short_<10,0.0,0.0,0.0,0.0
342,short_<10,0.0,0.0,0.0,0.0
345,short_<10,0.0,0.0,0.0,0.0
346,short_<10,0.0,0.0,0.0,0.0
347,short_<10,0.0,0.0,0.0,0.0
349,short_<10,0.0,0.0,0.0,0.0
351,short_<10,0.0,0.0,0.0,0.0
353,short_<10,0.0,0.0,0.0,0.0
354,short_<10,0.0,0.0,0.0,0.0
355,short_<10,0.0,0.0,0.0,0.0
356,short_<10,0.0,0.0,0.0,0.0
357,short_<10,0.0,0.0,0.0,0.0
363,short_<10,0.0,0.0,0.0,0.0
364,short_<10,0.0,0.0,0.0,0.0
367,short_<10,0.0,0.0,0.0,0.0
368,short_<10,0.0,0.0,0.0,0.0
370,short_<10,0.0,0.0,0.0,0.0
373,short_<10,0.0,0.0,0.0,0.0
374,short_<10,0.0,0.0,0.0,0.0
376,short_<10,0.0,0.0,0.0,0.0
377,short_<10,0.0,0.0,0.0,0.0
378,short_<10,0.0,0.0,0.0,0.0
380,short_<10,0.0,0.0,0.0,0.0
381,short_<10,0.0,0.0,0.0,0.0
384,short_<10,0.0,0.0,0.0,0.0
385,short_<10,0.0,0.0,0.0,0.0
386,short_<10,0.0,0.0,0.0,0.0
388,short_<10,0.0,0.0,0.0,0.0
391,short_<10,0.0,0.0,0.0,0.0
393,short_<10,0.0,0.0,0.0,0.0
394,short_<10,0.0,0.0,0.0,0.0
396,short_<10,0.0,0.0,0.0,0.0
398,short_<10,0.0,0.0,0.0,0.0
399,short_<10,0.0,0.0,0.0,0.0
401,short_<10,0.0,0.0,0.0,0.0
402,short_<10,0.0,0.0,0.0,0.0
404,short_<10,0.0,0.0,0.0,0.0
405,short_<10,0.0,0.0,0.0,0.0
406,short_<10,0.0,0.0,0.0,0.0
407,short_<10,0.0,0.0,0.0,0.0
408,short_<10,0.0,0.0,0.0,0.0
409,short_<10,0.0,0.0,0.0,0.0
410,short_<10,0.0,0.0,0.0,0.0
411,short_<10,0.0,0.0,0.0,0.0
412,short_<10,0.0,0.0,0.0,0.0
413,short_<10,0.0,0.0,0.0,0.0
415,short_<10,0.0,0.0,0.0,0.0
416,short_<10,0.0,0.0,0.0,0.0
418,short_<10,0.0,0.0,0.0,0.0
419,short_<10,0.0,0.0,0.0,0.0
420,short_<10,0.0,0.0,0.0,0.0
421,short_<10,0.0,0.0,0.0,0.0
423,short_<10,0.0,0.0,0.0,0.0
424,short_<10,0.0,0.0,0.0,0.0
425,short_<10,0.0,0.0,0.0,0.0
427,short_<10,0.0,0.0,0.0,0.0
428,short_<10,0.0,0.0,0.0,0.0
430,short_<10,0.0,0.0,0.0,0.0
432,short_<10,0.0,0.0,0.0,0.0
433,short_<10,0.0,0.0,0.0,0.0
436,short_<10,0.0,0.0,0.0,0.0
437,short_<10,0.0,0.0,0.0,0.0
438,short_<10,0.0,0.0,0.0,0.0
439,short_<10,0.0,0.0,0.0,0.0
440,short_<10,0.0,0.0,0.0,0.0
445,short_<10,0.0,0.0,0.0,0.0
447,short_<10,0.0,0.0,0.0,0.0
448,short_<10,0.0,0.0,0.0,0.0
449,short_<10,0.0,0.0,0.0,0.0
451,short_<10,0.0,0.0,0.0,0.0
452,short_<10,0.0,0.0,0.0,0.0
453,short_<10,0.0,0.0,0.0,0.0
454,short_<10,0.0,0.0,0.0,0.0
458,short_<10,0.0,0.0,0.0,0.0
460,short_<10,0.0,0.0,0.0,0.0
461,short_<10,0.0,0.0,0.0,0.0
465,short_<10,0.0,0.0,0.0,0.0
468,short_<10,0.0,0.0,0.0,0.0
469,short_<10,0.0,0.0,0.0,0.0
